vds,nfing,wf,gdg,gsg,Pout,PAE,Tj
16.0,2.0,25.0,52.0,33.0,9.256689999999999,9.03266,67.72586
16.0,2.0,25.0,52.0,78.0,12.397089999999999,13.07456,69.92251999999999
16.0,4.0,25.0,52.0,33.0,12.95255,9.75963,68.63887
16.0,6.0,25.0,52.0,33.0,13.862129999999999,8.78945,69.40080999999999
16.0,6.0,25.0,52.0,78.0,17.6327,13.863470000000001,70.90257
16.0,8.0,25.0,52.0,33.0,15.0427,8.746889999999999,68.31912
16.0,8.0,25.0,52.0,78.0,18.74044,13.84159,71.19797
16.0,6.0,37.5,52.0,78.0,19.7227,14.372979999999998,74.36731999999999
16.0,2.0,50.0,52.0,78.0,16.05809,14.90675,74.38558
16.0,4.0,50.0,52.0,78.0,19.28163,15.298470000000002,75.71101
16.0,4.0,62.5,52.0,78.0,20.535,15.470279999999999,77.72972
16.0,2.0,100.0,52.0,78.0,20.89401,15.827539999999999,79.71435
20.0,8.0,37.5,52.0,78.0,21.06454,13.03301,85.52414
20.0,6.0,50.0,52.0,78.0,21.47697,14.03471,88.33951
20.0,4.0,62.5,52.0,78.0,20.958560000000002,14.483220000000001,89.70773
20.0,6.0,62.5,52.0,78.0,23.26725,15.081570000000001,91.05884
20.0,4.0,75.0,52.0,78.0,22.659760000000002,15.181120000000002,91.03425
20.0,6.0,75.0,52.0,78.0,24.17474,14.838579999999999,90.97001
20.0,4.0,87.5,52.0,78.0,23.85512,15.80236,91.21392
20.0,4.0,100.0,52.0,78.0,24.5629,15.388079999999999,94.09775
24.0,8.0,62.5,52.0,78.0,25.41662,15.2997,103.21439000000001
24.0,8.0,75.0,52.0,78.0,26.477790000000002,15.03604,104.18158000000001
24.0,4.0,87.5,52.0,78.0,24.37442,15.47729,103.67665
24.0,6.0,87.5,22.0,78.0,26.279159999999997,15.81344,112.06199
24.0,6.0,87.5,52.0,78.0,26.50095,15.59353,107.31497
24.0,4.0,100.0,52.0,78.0,25.367639999999998,15.842789999999999,106.51206
24.0,6.0,100.0,22.0,78.0,26.7389,15.710360000000001,111.71455
24.0,6.0,100.0,52.0,78.0,26.52238,15.23439,104.995
28.0,4.0,50.0,52.0,78.0,21.7479,16.01354,110.11253
28.0,6.0,50.0,52.0,78.0,23.60983,16.04091,110.69626000000001
28.0,8.0,50.0,52.0,78.0,24.8597,16.157989999999998,111.98754
28.0,8.0,62.5,52.0,78.0,26.43191,16.59556,114.86636000000001
28.0,4.0,75.0,52.0,78.0,24.07327,16.503,113.76352
28.0,8.0,75.0,52.0,78.0,27.400740000000003,16.113,116.00873999999999
28.0,8.0,87.5,22.0,78.0,28.571609999999996,17.19083,125.99878999999999
28.0,8.0,87.5,52.0,78.0,28.522470000000002,17.16033,116.91703999999999
28.0,2.0,100.0,52.0,78.0,22.98304,16.81438,115.93697
28.0,6.0,100.0,52.0,78.0,28.077059999999996,17.43691,118.95838
28.0,8.0,100.0,52.0,48.0,28.95595,17.172520000000002,124.12722
